"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","DE14","K","THS","Y_GE15","26.0"
"2008","DE14","L","THS","Y_GE15",":"
"2008","DE14","M_N","THS","Y_GE15","69.5"
"2008","DE14","O-Q","THS","Y_GE15","207.0"
"2008","DE14","R-U","THS","Y_GE15","36.9"
"2008","DE14","NRP","THS","Y_GE15",":"
"2008","DE21","TOTAL","THS","Y_GE15","2,197.3"
"2008","DE21","A","THS","Y_GE15","44.2"
"2008","DE21","B-E","THS","Y_GE15","449.8"
"2008","DE21","F","THS","Y_GE15","122.0"
"2008","DE21","G-I","THS","Y_GE15","457.4"
"2008","DE21","J","THS","Y_GE15","127.8"
"2008","DE21","K","THS","Y_GE15","111.4"
"2008","DE21","L","THS","Y_GE15","17.4"
"2008","DE21","M_N","THS","Y_GE15","262.0"
"2008","DE21","O-Q","THS","Y_GE15","483.5"
"2008","DE21","R-U","THS","Y_GE15","121.7"
"2008","DE21","NRP","THS","Y_GE15",":"
"2008","DE22","TOTAL","THS","Y_GE15","597.7"
"2008","DE22","A","THS","Y_GE15","27.0"
"2008","DE22","B-E","THS","Y_GE15","165.0"
"2008","DE22","F","THS","Y_GE15","63.0"
"2008","DE22","G-I","THS","Y_GE15","128.1"
"2008","DE22","J","THS","Y_GE15","11.6"
"2008","DE22","K","THS","Y_GE15","16.5"
"2008","DE22","L","THS","Y_GE15",":"
"2008","DE22","M_N","THS","Y_GE15","34.3"
"2008","DE22","O-Q","THS","Y_GE15","128.1"
"2008","DE22","R-U","THS","Y_GE15","22.4"
"2008","DE22","NRP","THS","Y_GE15",":"
"2008","DE23","TOTAL","THS","Y_GE15","547.2"
"2008","DE23","A","THS","Y_GE15","21.2"
"2008","DE23","B-E","THS","Y_GE15","154.9"
"2008","DE23","F","THS","Y_GE15","40.1"
"2008","DE23","G-I","THS","Y_GE15","121.8"
"2008","DE23","J","THS","Y_GE15","11.8"
"2008","DE23","K","THS","Y_GE15","14.9"
"2008","DE23","L","THS","Y_GE15",":"
"2008","DE23","M_N","THS","Y_GE15","35.8"
"2008","DE23","O-Q","THS","Y_GE15","120.8"
"2008","DE23","R-U","THS","Y_GE15","24.6"
"2008","DE23","NRP","THS","Y_GE15",":"
"2008","DE24","TOTAL","THS","Y_GE15","526.1"
"2008","DE24","A","THS","Y_GE15","13.7"
"2008","DE24","B-E","THS","Y_GE15","166.4"
"2008","DE24","F","THS","Y_GE15","28.2"
"2008","DE24","G-I","THS","Y_GE15","106.3"
"2008","DE24","J","THS","Y_GE15","11.8"
"2008","DE24","K","THS","Y_GE15","18.0"
"2008","DE24","L","THS","Y_GE15",":"
"2008","DE24","M_N","THS","Y_GE15","37.4"
"2008","DE24","O-Q","THS","Y_GE15","119.1"
"2008","DE24","R-U","THS","Y_GE15","23.6"
"2008","DE24","NRP","THS","Y_GE15",":"
"2008","DE25","TOTAL","THS","Y_GE15","844.8"
"2008","DE25","A","THS","Y_GE15","19.1"
"2008","DE25","B-E","THS","Y_GE15","218.5"
"2008","DE25","F","THS","Y_GE15","47.4"
"2008","DE25","G-I","THS","Y_GE15","187.9"
"2008","DE25","J","THS","Y_GE15","26.9"
"2008","DE25","K","THS","Y_GE15","28.4"
"2008","DE25","L","THS","Y_GE15",":"
"2008","DE25","M_N","THS","Y_GE15","89.9"
"2008","DE25","O-Q","THS","Y_GE15","186.4"
"2008","DE25","R-U","THS","Y_GE15","35.4"
"2008","DE25","NRP","THS","Y_GE15",":"
"2008","DE26","TOTAL","THS","Y_GE15","656.6"
"2008","DE26","A","THS","Y_GE15","13.2"
"2008","DE26","B-E","THS","Y_GE15","179.1"
"2008","DE26","F","THS","Y_GE15","44.3"
"2008","DE26","G-I","THS","Y_GE15","136.9"
"2008","DE26","J","THS","Y_GE15","16.3"
"2008","DE26","K","THS","Y_GE15","18.2"
"2008","DE26","L","THS","Y_GE15",":"
"2008","DE26","M_N","THS","Y_GE15","60.5"
"2008","DE26","O-Q","THS","Y_GE15","153.3"
"2008","DE26","R-U","THS","Y_GE15","32.4"
"2008","DE26","NRP","THS","Y_GE15",":"
"2008","DE27","TOTAL","THS","Y_GE15","888.3"
"2008","DE27","A","THS","Y_GE15","28.8"
"2008","DE27","B-E","THS","Y_GE15","253.5"
